name,category,roadAddress,address,latitude,longitude,period,count,items
제천역전한마음시장,상설장+3일장,충청북도 제천시 내토로 28길 12,충청북도 제천시 화산동 208-9,37.1289856,128.2064541,3일+8일,58.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
제천약초시장,상설장,충청북도 제천시 원화산로 121,충청북도 제천시 화산동 987,37.12788708,128.219591,매일,54.0,농산물
동문전통시장,상설장,충청북도 제천시 용두천로 125,충청북도 제천시 중앙로2가 117-1,37.13850912,128.2135267,매일,42.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
내토전통시장,상설장,충청북도 제천시 용두천로 11길 5,충청북도 제천시 중앙로1가 34-1,37.1373583,128.2124054,매일,50.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
음성시장,상설장,충청북도 음성군 음성읍 문화1길 14,충청북도 음성군 음성읍 읍내리 249-11,36.93816952,127.6921309,2일+7일,160.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
단양구경시장(단양인정시장),상설장,충청북도 단양군 단양읍 도전5길 31,충청북도 단양군 단양읍 도전리 615,36.9824892,128.3699866,1일+6일,118.0,농산물+축산물+수산물+가공식품+신발+가정용품+음식점
박달재전통시장,상설장,충청북도 제천시 백운면 평동로 4-8,충청북도 제천시 백운면 평동리 216-2,37.13820858,128.02257,1일+6일,67.0,농산물+축산물+가공식품+의류+가정용품+음식점
청천전통시장,상설장+5일장,충청북도 괴산군 청천면 청천2길 10,충청북도 괴산군 청천면 청천리 62-11,36.65914155,127.7378523,5일+10일,101.0,농산물+음식점
성환이화시장,상설장,충청남도 천안시 서북구 성환읍 종합시장길 17,충청남도 천안시 서북구 성환읍 성환리 449-1111,36.91925493,127.1298906,1일+6일,80.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
삼성시장,상설장,충청북도 음성군 삼성면 대성로 608-2,충청북도 음성군 삼성면 덕정리 534-17,37.01800836,127.4991966,1일+6일,59.0,농산물+축산물+수산물+의류+신발+가정용품+음식점
대소시장,상설장+3일장,충청북도 음성군 대소면 오산로 36,충청북도 음성군 대소면 오산리 186-6,36.96654372,127.4850145,3일+8일,82.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
무극시장,상설장+5일장,충청북도 음성군 금왕읍 무극로308번길 12-2,충청북도 음성군 금왕읍 무극리 77-17,36.99267414,127.5960077,5일+10일,107.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
감곡시장,상설장+3일장,충청북도 음성군 감곡면 장감로 132번길 22,충청북도 음성군 감곡면 왕장리 525-8,37.11822831,127.6391733,3일+8일,42.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
옥천공설시장,상설장,충청북도 옥천군 옥천읍 삼금로 5길 5-14,충청북도 옥천군 옥천읍 금구리 5-68,36.30251559,127.5679118,매일,29.0,농산물+수산물+가공식품+가정용품+음식점
옥천상가,상설장,충청북도 옥천군 옥천읍 삼금로 45,충청북도 옥천군 옥천읍 금구리 5-7,36.302388,127.5682115,매일,54.0,농산물+축산물+수산물+의류+신발+가정용품+음식점+근린생활서비스
영동전통시장,상설장+4일장,,충청북도 영동군 영동읍 계산리 694-13,36.17521123,127.7756379,4일+9일,200.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
영동중앙시장,상설장+4일장,,충청북도 영동군 영동읍 계산리 693-27,36.17467013,127.7756992,4일+9일,90.0,농산물+축산물+가공식품+의류+신발+가정용품+근린생활서비스
회인재래시장,상설장+4일장,충청북도 보은군 회인면 회인로 34,충청북도 보은군 회인면 중앙리 59-15,36.49052262,127.5978628,4일+9일,48.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
삼승원남시장(원남재래시장),3일장,충청북도 보은군 삼승면 삼승탄부로 12,충청북도 보은군 삼승면 원남리 191-1,36.39692314,127.7331366,3일+8일,70.0,농산물+축산물+가공식품+의류+가정용품+음식점+근린생활서비스
보은전통시장,상설장,충청북도 보은군 보은읍 삼산로 17-1,충청북도 보은군 보은읍 삼산리 139-20,36.48430017,127.7201103,1일+6일,47.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
결초보은시장(구 보은종합시장),상설장,충청북도 보은군 보은읍 삼산로3길 12-1,충청북도 보은군 보은읍 삼산리 31-15,36.48291338,127.7193275,1일+6일,115.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
마로관기시장(관기재래시장),4일장,충청북도 보은군 마로면 관기3길 6-7,충청북도 보은군 마로면 관기리 377-1,36.43524115,127.8175958,4일+9일,48.0,농산물+축산물+가공식품+의류+가정용품+음식점
매포전통시장(매포재래시장),상설장+4일장,충청북도 단양군 매포읍 평동24길 8,충청북도 단양군 매포읍 평동리 1139,37.03422177,128.2990703,4일+9일,54.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
